policy,budget_fraction,n,D_h_mean,D_h_ci95,answer_acc_mean,answer_acc_ci95,top1_mean,control_overhead_ms_mean
attention_proxy_pages,0.0625,76,2.3488257520076483,0.4095351598756925,0.09210526315789473,0.06544634731389752,0.3026315789473684,2.136538862128203
attention_proxy_pages,0.125,76,2.35139412054759,0.421962869023087,0.13157894736842105,0.07650394228793418,0.3355263157894737,2.320604692948492
attention_proxy_pages,0.25,76,2.2583251493494743,0.44981745973162557,0.19736842105263158,0.0900787590139027,0.3815789473684211,2.40584375875953
attention_proxy_pages,0.5,76,1.9089661941175933,0.4505596854879445,0.2894736842105263,0.102640809301525,0.4342105263157895,2.1821584699577405
attention_proxy_pages,1.0,76,0.0,0.0,1.0,0.0,1.0,2.2302544093690813
full_pages,1.0,76,0.0,0.0,1.0,0.0,1.0,2.118378859258404
inferred_belief_pages,0.0625,76,1.2413992359542576,0.34273560152342625,0.4605263157894737,0.11280745409317729,0.5921052631578947,2.1498860105087885
inferred_belief_pages,0.125,76,0.6929867464119802,0.2984326452353111,0.6973684210526315,0.10397135410586691,0.7828947368421053,2.249543294678197
inferred_belief_pages,0.25,76,0.3765648008663659,0.22709411947912006,0.8026315789473685,0.09007875901390272,0.881578947368421,2.195008184858843
inferred_belief_pages,0.5,76,0.16949037697019112,0.1447349538994333,0.9078947368421053,0.06544634731389752,0.9473684210526315,2.1907774896949137
inferred_belief_pages,1.0,76,0.0,0.0,1.0,0.0,1.0,2.2043948288467763
keyword_entity_pages,0.0625,76,1.3276871474794711,0.37045085152714563,0.42105263157894735,0.1117411598111332,0.5723684210526315,2.153241783257966
keyword_entity_pages,0.125,76,0.6722541343475662,0.2931456964804097,0.6842105263157895,0.10520082364886164,0.7763157894736842,2.1325017258181775
keyword_entity_pages,0.25,76,0.37949632262325556,0.22697317096790376,0.7894736842105263,0.09226722601893868,0.875,2.1159189024106846
keyword_entity_pages,0.5,76,0.17378085079510908,0.14468384953423852,0.8947368421052632,0.0694562444883848,0.9407894736842105,2.1643026235611424
keyword_entity_pages,1.0,76,0.0,0.0,1.0,0.0,1.0,2.163176078618945
oracle_belief_pages,0.0625,76,1.0039676494264118,0.3518713491811602,0.6052631578947368,0.11062451777756141,0.6973684210526315,2.1393893249823073
oracle_belief_pages,0.125,76,0.195866166331443,0.13539272666345806,0.9210526315789473,0.061029033551974976,0.9342105263157895,2.108395320216292
oracle_belief_pages,0.25,76,0.04597293894892041,0.013030639607185307,0.9605263157894737,0.04406907194953253,0.9802631578947368,2.1991168767654976
oracle_belief_pages,0.5,76,0.026809011887213203,0.007999531129203473,0.9868421052631579,0.025789473684210525,0.993421052631579,2.2302598870163295
oracle_belief_pages,1.0,76,0.0,0.0,1.0,0.0,1.0,2.2090357011429185
recent_pages,0.0625,76,1.9317001566773377,0.3896599133566074,0.21052631578947367,0.09226722601893868,0.40789473684210525,2.1675717679930755
recent_pages,0.125,76,1.8352042338227244,0.3932788391296946,0.2631578947368421,0.0996599944650221,0.4473684210526316,2.1231091477123925
recent_pages,0.25,76,1.5287320567160716,0.40836243546721346,0.40789473684210525,0.11122411305153085,0.5592105263157895,2.178716485535628
recent_pages,0.5,76,0.805601990378626,0.3289378512079797,0.6842105263157895,0.10520082364886164,0.7828947368421053,2.205489555643381
recent_pages,1.0,76,0.0,0.0,1.0,0.0,1.0,2.6909226251422966
seeded_random_pages,0.0625,76,2.291921984549331,0.38355239211669423,0.10526315789473684,0.0694562444883848,0.3223684210526316,2.2124819408514
seeded_random_pages,0.125,76,2.122728666720837,0.4064489668426797,0.21052631578947367,0.09226722601893868,0.39473684210526316,2.227292769882632
seeded_random_pages,0.25,76,1.6424104038704446,0.4036471759567252,0.35526315789473684,0.10831578947368421,0.5131578947368421,2.1597929513326997
seeded_random_pages,0.5,76,1.0413390728968197,0.39065788872695106,0.6052631578947368,0.11062451777756141,0.7105263157894737,2.2086238513063443
seeded_random_pages,1.0,76,0.0,0.0,1.0,0.0,1.0,2.1954512340016663
